"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\C++20.cpp", "C++", 20, 0, 1, 21
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\C++25.cpp", "C++", 24, 0, 2, 26
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\C++33.cpp", "C++", 21, 0, 0, 21
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\c++14.cpp", "C++", 16, 0, 5, 21
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\c++22.cpp", "C++", 24, 0, 8, 32
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\c++26.cpp", "C++", 37, 0, 5, 42
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\c++28.cpp", "C++", 34, 0, 10, 44
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\c++29.cpp", "C++", 18, 0, 7, 25
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\c++30.cpp", "C++", 23, 0, 7, 30
"c:\Users\Administrator\Nextcloud\CPP_C\CPP\c++31.cpp", "C++", 23, 0, 7, 30
"Total", "-", 240, 0, 52, 292
